timestamp,co2cosirvalue,co2mg811value,mox1,mox2,mox3,mox4,covalue,temperature,humidity,movement,gas_elevated,risk_high,movement_detected,temp_change,hum_change,env_stable,risk_basic,risk_extreme,risk_block,hour,gas_intensity,movement_freq
2019-11-06 10:00:00+00:00,117.04347826086956,586.9855072463768,508.27536231884056,744.0579710144928,671.7391304347826,585.4927536231884,112.3623188405797,19.792463768115944,51.98507246376811,19.0,False,False,True,,,False,False,False,1,10,112.3623188405797,19.0
2019-11-06 11:00:00+00:00,80.86666666666666,617.8444444444444,555.2388888888889,776.8222222222222,731.6055555555556,653.8111111111111,94.52777777777777,19.53322222222222,49.12222222222222,1.0,False,False,True,0.2592415458937225,2.8628502415458925,False,False,False,1,11,94.52777777777777,1.0
2019-11-06 12:00:00+00:00,84.72777777777777,616.7722222222222,530.8722222222223,760.5055555555556,705.6611111111112,622.1166666666667,95.53333333333333,19.69911111111111,51.23983333333334,12.0,False,False,True,0.1658888888888903,2.117611111111117,False,False,False,1,12,95.53333333333333,12.0
2019-11-06 13:00:00+00:00,81.99444444444444,618.4611111111111,427.7055555555556,757.9666666666667,707.5611111111111,625.2944444444445,111.45,20.20277777777778,49.903166666666664,2.0,False,False,True,0.5036666666666676,1.336666666666673,False,False,False,1,13,111.45,2.0
2019-11-06 14:00:00+00:00,85.97777777777777,615.9888888888889,385.50555555555553,753.5555555555555,702.25,621.4722222222222,107.85555555555555,20.311944444444446,50.69244444444444,8.0,False,False,True,0.10916666666666686,0.7892777777777766,True,False,False,1,14,107.85555555555555,8.0
2019-11-06 15:00:00+00:00,86.98324022346368,616.3966480446927,409.3519553072626,751.9608938547486,699.8156424581006,621.2067039106146,108.28491620111731,19.517597765363128,53.56022346368715,9.0,False,False,True,0.7943466790813183,2.867779019242711,False,False,False,1,15,108.28491620111731,9.0
2019-11-06 16:00:00+00:00,94.54444444444445,611.1388888888889,472.06111111111113,745.3666666666667,692.7333333333333,618.6666666666666,116.25555555555556,21.391666666666666,51.76972222222222,0.0,False,False,False,1.8740689013035379,1.7905012414649306,False,False,False,1,16,116.25555555555556,0.0
2019-11-06 17:00:00+00:00,104.57777777777778,605.95,469.47777777777776,736.3666666666667,683.6611111111112,606.9388888888889,118.93888888888888,22.842499999999998,51.12916666666667,0.0,False,False,False,1.4508333333333319,0.6405555555555509,False,False,False,1,17,118.93888888888888,0.0
2019-11-06 18:00:00+00:00,105.43333333333334,603.8055555555555,464.7388888888889,733.0111111111111,680.5277777777778,603.7277777777778,119.99444444444444,24.20361111111111,48.901777777777774,10.0,False,False,True,1.3611111111111107,2.227388888888896,False,False,False,1,18,119.99444444444444,10.0
2019-11-06 19:00:00+00:00,121.87222222222222,597.8166666666667,453.2611111111111,729.3722222222223,676.4944444444444,598.8555555555556,129.99444444444444,24.19011111111111,48.95272222222222,8.0,True,False,True,0.013499999999996959,0.0509444444444469,True,False,False,1,19,129.99444444444444,8.0
